nombre_uno;valor ;valor_comun;;;;;;;;;;
Jacqueline;653;1;;;;;;;;;;
Catalina Enriqueta;543;1;;;;;;;;;;
Marta Ermilia;697;1;;;;;;;;;;
Berta Julia;272;1;;;;;;;;;;
Rolf Werner;145;1;;;;;;;;;;
Nelly Maria Teresa;411;1;;;;;;;;;;
Pratsele;127;1;;;;;;;;;;
Gregoria Bernarda;615;1;;;;;;;;;;
Wladimiro;663;1;;;;;;;;;;
Benicia Elena;520;1;;;;;;;;;;
Marta Juana;427;1;;;;;;;;;;
Narciso;290;1;;;;;;;;;;
Dominga Natalia;195;1;;;;;;;;;;
Jose Heriberto;238;1;;;;;;;;;;
Carmen Lucia;572;1;;;;;;;;;;
Cleofe Susana;223;1;;;;;;;;;;
Natividad Dolores;116;1;;;;;;;;;;
Chiaradea;279;1;;;;;;;;;;
Rosmunda;147;1;;;;;;;;;;
Alida Silvana;303;1;;;;;;;;;;
Edilia Telesfora;672;1;;;;;;;;;;
Emilia Victoria;288;1;;;;;;;;;;
Osvaldo Carlos Bernardo Manuel;332;1;;;;;;;;;;
Alborada Victoria;405;1;;;;;;;;;;
Dorita Araseli;691;1;;;;;;;;;;
Manuel Bruno;100;1;;;;;;;;;;
Teresa Genobeva;104;1;;;;;;;;;;
Filandro Ricardo;162;1;;;;;;;;;;
William;468;1;;;;;;;;;;
Teresa Dominga Rosa;136;1;;;;;;;;;;
Julia Armanda;646;1;;;;;;;;;;
Lorenza Benedicta;129;1;;;;;;;;;;
Rosa Sara;509;1;;;;;;;;;;
Petrona Felisa;149;1;;;;;;;;;;
Irma Edita;343;1;;;;;;;;;;
Amelia Ada;693;1;;;;;;;;;;
Placido Dionisio;272;1;;;;;;;;;;
Amanda Felisa;594;1;;;;;;;;;;
Laurentina Del Transito;632;1;;;;;;;;;;
Damian Nicandro;588;1;;;;;;;;;;
Osvaldo Miguel;273;1;;;;;;;;;;
Primitiva Demetria;328;1;;;;;;;;;;
Zulema Haydee;697;1;;;;;;;;;;
Talina;318;1;;;;;;;;;;
Clara de los Angeles;319;1;;;;;;;;;;
Esther Josefina;546;1;;;;;;;;;;
Carolina Ana;134;1;;;;;;;;;;
Palmira Teresa;556;1;;;;;;;;;;
Palmira Eugenia;147;1;;;;;;;;;;
Erminda Rosa;223;1;;;;;;;;;;
Antonio Miguel Biembenido;561;1;;;;;;;;;;
Nicolas Gregorio;391;1;;;;;;;;;;
Eshter;604;1;;;;;;;;;;
Antonio Alonso;566;1;;;;;;;;;;
Santina Adelina;456;1;;;;;;;;;;
 Raquel Enriqueta;438;1;;;;;;;;;;
Ramona Herse Gobina;209;1;;;;;;;;;;
Carmen Enriqueta;638;1;;;;;;;;;;
Lia Clelia;372;1;;;;;;;;;;
Ida Marcelina;434;1;;;;;;;;;;
Irma NÃ©lida;395;1;;;;;;;;;;
 Primitivo;502;1;;;;;;;;;;
Clelia Maria;120;1;;;;;;;;;;
Hugo Augusto;325;1;;;;;;;;;;
Elva Beatriz;339;1;;;;;;;;;;
Elisa Andrea;142;1;;;;;;;;;;
JosÃ© Dardo;210;1;;;;;;;;;;
Ricardo Herman;444;1;;;;;;;;;;
Etra Nidia Ebe;394;1;;;;;;;;;;
Aksel;254;1;;;;;;;;;;
Paulina Francisca;215;1;;;;;;;;;;
Albina Isabel;498;1;;;;;;;;;;
Nelida Angela;314;1;;;;;;;;;;
Sebastiana Delia;530;1;;;;;;;;;;
Zulma Esther;686;1;;;;;;;;;;
Eduardo Nazareno;141;1;;;;;;;;;;
Silfide Filadelfia;407;1;;;;;;;;;;
Nelli Noemi;600;1;;;;;;;;;;
Rufino Apolinario;522;1;;;;;;;;;;
Ada Segunda;254;1;;;;;;;;;;
Boris;163;1;;;;;;;;;;
Amalia Candelaria;517;1;;;;;;;;;;
Aurelia Eufemia;143;1;;;;;;;;;;
Holanda Mercedes;621;1;;;;;;;;;;
Benedicta Teresa Margarita;237;1;;;;;;;;;;
Diamantino Felix;371;1;;;;;;;;;;
Liana Catalina;587;1;;;;;;;;;;
Nelva Elena Baldomera;677;1;;;;;;;;;;
Sara Haydee;260;1;;;;;;;;;;
Dora Virginia;650;1;;;;;;;;;;
Rufino Mario;111;1;;;;;;;;;;
Etna Sile;352;1;;;;;;;;;;
Margarita Alicia;528;1;;;;;;;;;;
Rene Rogelio;446;1;;;;;;;;;;
Olga Eufrasina;398;1;;;;;;;;;;
Enrique Lauro;336;1;;;;;;;;;;
MarÃ­a Emma LucÃ­a;287;1;;;;;;;;;;
Angela Abelina;438;1;;;;;;;;;;
Azucena Blanca;505;1;;;;;;;;;;
Ramona Angela;622;1;;;;;;;;;;
Julia Emma;353;1;;;;;;;;;;
Haidee Celia;589;1;;;;;;;;;;
Julia del Carmen;170;1;;;;;;;;;;
Elena Delia Elisa;364;1;;;;;;;;;;
Isabel Ludovica Maria;666;1;;;;;;;;;;
Juan Evangelista;636;1;;;;;;;;;;
Gregoria Robustiana;642;1;;;;;;;;;;
Zunilda Huri;609;1;;;;;;;;;;
Remigia Guillermina;681;1;;;;;;;;;;
Arminda del Valle;657;1;;;;;;;;;;
Fermina del Rosario;596;1;;;;;;;;;;
Rogelio Marcelino;654;1;;;;;;;;;;
Blanca Maria Virginia;335;1;;;;;;;;;;
Ignacia Cecilia;133;1;;;;;;;;;;
Julia Catalina;176;1;;;;;;;;;;
Pablo David;359;1;;;;;;;;;;
Romeo Oscar;680;1;;;;;;;;;;
Teresa Mercedes;179;1;;;;;;;;;;
Elia Hortencia;341;1;;;;;;;;;;
Tomasa Del Rosario;480;1;;;;;;;;;;
Nelida Paula;568;1;;;;;;;;;;
Ofelia Asuncion;256;1;;;;;;;;;;
Juana Erminda;573;1;;;;;;;;;;
Petrona Hermelejilda;524;1;;;;;;;;;;
Elpidio Ramon;218;1;;;;;;;;;;
Maria Lucinda del Carmen;153;1;;;;;;;;;;
Julia Visitacion;380;1;;;;;;;;;;
Noemi del Valle;235;1;;;;;;;;;;
Jacobo Isaac;526;1;;;;;;;;;;
 Dora;604;1;;;;;;;;;;
Leonor Etelvina;266;1;;;;;;;;;;
Teresa Del JesÃºs;581;1;;;;;;;;;;
Juana Asuncion;120;1;;;;;;;;;;
Leandro;480;1;;;;;;;;;;
Mary Evelyn;529;1;;;;;;;;;;
Apolonia Beatriz;481;1;;;;;;;;;;
MÃ¡xima Mercedes del Carmen;461;1;;;;;;;;;;
Juana Eduvigen;223;1;;;;;;;;;;
Angelica Lira;249;1;;;;;;;;;;
Josefa Paula;637;1;;;;;;;;;;
Arsenio;246;1;;;;;;;;;;
Esther Julia;283;1;;;;;;;;;;
Margarita Lila;641;1;;;;;;;;;;
Eduviges Wanda;224;1;;;;;;;;;;
Leonor Esperanza;532;1;;;;;;;;;;
Rafaela De Los Remedios;268;1;;;;;;;;;;
Marciano Tercilio;628;1;;;;;;;;;;
Catalina Amelia;112;1;;;;;;;;;;
Marina Clara;263;1;;;;;;;;;;
Feliciana de Jesus;180;1;;;;;;;;;;
Francisco Aladino;326;1;;;;;;;;;;
Alba Candida;372;1;;;;;;;;;;
Luisa Etelvina;130;1;;;;;;;;;;
Adda Sara;314;1;;;;;;;;;;
Delfina Francisca;619;1;;;;;;;;;;
Rosalia Carmen Manuela;655;1;;;;;;;;;;
Felipa Carolina;556;1;;;;;;;;;;
Edith Mabel;153;1;;;;;;;;;;
Muriel Edith;593;1;;;;;;;;;;
Alicia Victoria;588;1;;;;;;;;;;
Delia Quintina;496;1;;;;;;;;;;
Adelaida Elina;467;1;;;;;;;;;;
Joaquin Martin;136;1;;;;;;;;;;
Angelica Iasie;678;1;;;;;;;;;;
Juana Duvila;361;1;;;;;;;;;;
Irene Juliana;205;1;;;;;;;;;;
Ana Eustaquia;228;1;;;;;;;;;;
Ana Guillerma;600;1;;;;;;;;;;
Maria Jasinta;673;1;;;;;;;;;;
Pascuala Manuela;463;1;;;;;;;;;;
Alcira Argelia;128;1;;;;;;;;;;
Elsa Beatriz;639;1;;;;;;;;;;
MarÃ­a AdoraciÃ³n;204;1;;;;;;;;;;
Clinio Pedro;366;1;;;;;;;;;;
Herminia Ernesta;175;1;;;;;;;;;;
Dolores del Huerto;465;1;;;;;;;;;;
Ivonne;437;1;;;;;;;;;;
Felisa Rosa;575;1;;;;;;;;;;
Raul Sixto;688;1;;;;;;;;;;
Alodia Esilda;149;1;;;;;;;;;;
Haydee Filomena;591;1;;;;;;;;;;
Teresa Josefa;211;1;;;;;;;;;;
Hilda Helvia;508;1;;;;;;;;;;
Candida Carmen;632;1;;;;;;;;;;
Blanca Beatriz;377;1;;;;;;;;;;
Nelida Iris;482;1;;;;;;;;;;
Nelia Elvira;636;1;;;;;;;;;;
Nelida Noemi Dominga;350;1;;;;;;;;;;
Aurora Eulalia;469;1;;;;;;;;;;
Angelica Zulema;332;1;;;;;;;;;;
Maria Luisa Lucia;336;1;;;;;;;;;;
Diego Horacio;469;1;;;;;;;;;;
Neife;413;1;;;;;;;;;;
Ruben Jose Raul;573;1;;;;;;;;;;
Isabel del Carmen;659;1;;;;;;;;;;
Angela Ventura;460;1;;;;;;;;;;
Leonilda Zulema;479;1;;;;;;;;;;
Elsa Elisa;599;1;;;;;;;;;;
Leonor Amanda;326;1;;;;;;;;;;
Ambrosia Ramona;416;1;;;;;;;;;;
 Juana Francisca;391;1;;;;;;;;;;
Belinda Angelica;115;1;;;;;;;;;;
Rosario Rogelia;336;1;;;;;;;;;;
Elena Ida;159;1;;;;;;;;;;
JosÃ© Roberto;479;1;;;;;;;;;;
Eduardo Fernando;518;1;;;;;;;;;;
Oscar Faustino;445;1;;;;;;;;;;
Ramona Ofelia;577;1;;;;;;;;;;
Magdalena Pauli;353;1;;;;;;;;;;
Martha Elisa;227;1;;;;;;;;;;
Vicenta Berta;168;1;;;;;;;;;;
Elodia Del Valle;251;1;;;;;;;;;;
Aurora Sofia;464;1;;;;;;;;;;
Francisca Amada;276;1;;;;;;;;;;
Elva del Carmen;438;1;;;;;;;;;;
Carmen Ofelia;341;1;;;;;;;;;;
Aurelina;365;1;;;;;;;;;;
Jose Agapito;611;1;;;;;;;;;;
Casimiro Crispin;376;1;;;;;;;;;;
Elina Esther;226;1;;;;;;;;;;
Delsa Trinidad;256;1;;;;;;;;;;
Amalia Magali;491;1;;;;;;;;;;
Nilda Noelia;669;1;;;;;;;;;;
Marfissa Clorinda Maria;653;1;;;;;;;;;;
 Orlanda Noemi;259;1;;;;;;;;;;
Teresa Melitona;303;1;;;;;;;;;;
Julia Petrona;324;1;;;;;;;;;;
Armida;540;1;;;;;;;;;;
Vicente Bruno;637;1;;;;;;;;;;
Jaia;308;1;;;;;;;;;;
Hilda Luisa;100;1;;;;;;;;;;
Leonidas Armando;526;1;;;;;;;;;;
America Argentina;284;1;;;;;;;;;;
Victoria Isabel;606;1;;;;;;;;;;
Geriberto Horacio;431;1;;;;;;;;;;
Adela Rosita;637;1;;;;;;;;;;
Teresa Yolanda;293;1;;;;;;;;;;
Ramiro Jose;282;1;;;;;;;;;;
Modesta Zuleica;508;1;;;;;;;;;;
Domingo Salvador;330;1;;;;;;;;;;
Ascacia;120;1;;;;;;;;;;
Celia Jacoba;183;1;;;;;;;;;;
Eulogia Maria Ines;521;1;;;;;;;;;;
Luis Galdini;364;1;;;;;;;;;;
Flora Juana;315;1;;;;;;;;;;
Josefa Serafina;604;1;;;;;;;;;;
Angela Faustina;231;1;;;;;;;;;;
Humberto Eugenio;262;1;;;;;;;;;;
Juana Teodora;382;1;;;;;;;;;;
Florencio Pascual;328;1;;;;;;;;;;
Andres Avelino;347;1;;;;;;;;;;
Antonio Anival;194;1;;;;;;;;;;
Francisco Angel;300;1;;;;;;;;;;
Etelvina Josefa;161;1;;;;;;;;;;
Nelida Paz;526;1;;;;;;;;;;
Justina Clemencia;141;1;;;;;;;;;;
Andres Lorenzo;214;1;;;;;;;;;;
Anita Luisa;124;1;;;;;;;;;;
Felicia MarÃ­a;538;1;;;;;;;;;;
Nilda Nivia;148;1;;;;;;;;;;
Blanca Rosa Enime;112;1;;;;;;;;;;
Alfredo Carlos;240;1;;;;;;;;;;
Josefa Trinidad;679;1;;;;;;;;;;
Nicodemo Pedro;376;1;;;;;;;;;;
Fausto Manuel;461;1;;;;;;;;;;
Mauricia Francisca;452;1;;;;;;;;;;
Carmelo Juan;671;1;;;;;;;;;;
Juan Abel;292;1;;;;;;;;;;
Lia Dora;416;1;;;;;;;;;;
Sabina Laura;100;1;;;;;;;;;;
NÃ©lida Amanda;540;1;;;;;;;;;;
Victoria Raquel;424;1;;;;;;;;;;
Keiller Catalina;375;1;;;;;;;;;;
Noelia Haydee;244;1;;;;;;;;;;
Teresa Angela;168;1;;;;;;;;;;
Isauro Leopoldo;612;1;;;;;;;;;;
Blanca Maria;406;1;;;;;;;;;;
Julio Vicente;351;1;;;;;;;;;;
Clelia Beatriz;535;1;;;;;;;;;;
Ilda Guadalupe;587;1;;;;;;;;;;
Eulalia Hilda;312;1;;;;;;;;;;
Eulalio Jose;164;1;;;;;;;;;;
Angela Micaela;155;1;;;;;;;;;;
Dolores Rosa;231;1;;;;;;;;;;
Felisa Hortensia;405;1;;;;;;;;;;
Jenos Isaac;350;1;;;;;;;;;;
Raul Ernesto;592;1;;;;;;;;;;
RamÃ³n Daniel;117;1;;;;;;;;;;
Dionisia Carolina;248;1;;;;;;;;;;
Themis Adriana;146;1;;;;;;;;;;
Esteban Eduardo;188;1;;;;;;;;;;
Robustiano Erasmo;609;1;;;;;;;;;;
Benita Ilda;168;1;;;;;;;;;;
Graziela Isolda de Maria;635;1;;;;;;;;;;
Elva Hayde;395;1;;;;;;;;;;
Luis Anibal;423;1;;;;;;;;;;
Filomena Concepcion;403;1;;;;;;;;;;
Ramon Luis;111;1;;;;;;;;;;
Matilde Laura;427;1;;;;;;;;;;
MartÃ­n Eleodoro;437;1;;;;;;;;;;
Maria Elias Luisa;326;1;;;;;;;;;;
Del Rosario Ladislada;600;1;;;;;;;;;;
Juana Palmira;316;1;;;;;;;;;;
Francisco Damian;108;1;;;;;;;;;;
Rosa Isidora;181;1;;;;;;;;;;
Maria Isabel de La Inmaculada;679;1;;;;;;;;;;
Cesilia Anita;205;1;;;;;;;;;;
Candido Antonio;627;1;;;;;;;;;;
Eleuterio Jose Maria;418;1;;;;;;;;;;
Carlos Marcelino;514;1;;;;;;;;;;
Alsira Lidia;577;1;;;;;;;;;;
Florencio Americo;414;1;;;;;;;;;;
Amalia Petrona;186;1;;;;;;;;;;
Victoria Elvira Aurelia;671;1;;;;;;;;;;
Elsa Gladys;525;1;;;;;;;;;;
Alejandro Luis;143;1;;;;;;;;;;
Hector Clemente;341;1;;;;;;;;;;
Amalia Transito;408;1;;;;;;;;;;
Ema Martina;431;1;;;;;;;;;;
Esther Vera;352;1;;;;;;;;;;
Ofelia Clara;101;1;;;;;;;;;;
Justino Alejandro;112;1;;;;;;;;;;
Salvadora Francisca;139;1;;;;;;;;;;
Martin Miguel;546;1;;;;;;;;;;
Agustin Remigio;131;1;;;;;;;;;;
Simon Rogelio;590;1;;;;;;;;;;
Orfilia Marta;232;1;;;;;;;;;;
Aida Jacinta;273;1;;;;;;;;;;
Maurilio;172;1;;;;;;;;;;
Lorenzo Guillermo;698;1;;;;;;;;;;
Rosalia Ulpilas;596;1;;;;;;;;;;
Maria Angeles;497;1;;;;;;;;;;
Pablo Hector;649;1;;;;;;;;;;
Benedicta Herminia;359;1;;;;;;;;;;
Fortunato Faustino;289;1;;;;;;;;;;
Francisco Asis;339;1;;;;;;;;;;
Fina Fidelina;418;1;;;;;;;;;;
Ciriaca Lucia;612;1;;;;;;;;;;
Romualda Juana;569;1;;;;;;;;;;
Hugo Jose;453;1;;;;;;;;;;
Jose Sebastian;247;1;;;;;;;;;;
Alina  Margarita;433;1;;;;;;;;;;
Adolfo Remigio;488;1;;;;;;;;;;
Geronimo Abelino;579;1;;;;;;;;;;
Minoru;595;1;;;;;;;;;;
Birgilio;199;1;;;;;;;;;;
Carlos Avispo;141;1;;;;;;;;;;
Elcira Teresa;625;1;;;;;;;;;;
Zulema Luisa;695;1;;;;;;;;;;
Eduardo Isidoro;528;1;;;;;;;;;;
Margarita Victorina;548;1;;;;;;;;;;
Hector Einer;163;1;;;;;;;;;;
Julia Emilia;393;1;;;;;;;;;;
Rufino Valentin;230;1;;;;;;;;;;
Gina Lucia;583;1;;;;;;;;;;
Aida Isabel;455;1;;;;;;;;;;
Abrahan Julian;321;1;;;;;;;;;;
Elsa Iris;580;1;;;;;;;;;;
Hermenegilda Juana;608;1;;;;;;;;;;
Domiciano Manuel;530;1;;;;;;;;;;
Julio Enrique;611;1;;;;;;;;;;
Constancia;195;1;;;;;;;;;;
Delfin Antonio;194;1;;;;;;;;;;
Elena Hayde;608;1;;;;;;;;;;
Andres Jose;680;1;;;;;;;;;;
Juan Cesar;227;1;;;;;;;;;;
Domingo Marcelo;570;1;;;;;;;;;;
Generosa;145;1;;;;;;;;;;
Bernardino Del Valle;149;1;;;;;;;;;;
Luisa Juana;418;1;;;;;;;;;;
Angel Rodolfo;672;1;;;;;;;;;;
Carmen Rosario;668;1;;;;;;;;;;
Rosa Agustina;587;1;;;;;;;;;;
Manuela Angela;102;1;;;;;;;;;;
Mabel Rene;320;1;;;;;;;;;;
Ovidio Nicolas;187;1;;;;;;;;;;
Zulema Octavia;616;1;;;;;;;;;;
Mariano Ruben;403;1;;;;;;;;;;
Hebe Alba;467;1;;;;;;;;;;
Matilde Petrona;201;1;;;;;;;;;;
Pedro Raymundo;214;1;;;;;;;;;;
Santa Cruz;396;1;;;;;;;;;;
Marcelo Mario;276;1;;;;;;;;;;
Elvira Irma;595;1;;;;;;;;;;
Santos Humberto;193;1;;;;;;;;;;
Rafaela del SeÃ±or;314;1;;;;;;;;;;
Berta Elba;210;1;;;;;;;;;;
Micaela Fatme;479;1;;;;;;;;;;
Clorinda Asuncion;660;1;;;;;;;;;;
Gines;226;1;;;;;;;;;;
Celestina Berta;311;1;;;;;;;;;;
Ramon Romedio;299;1;;;;;;;;;;
Ana Aurora;149;1;;;;;;;;;;
Florentina Julia;173;1;;;;;;;;;;
Camilo;362;1;;;;;;;;;;
Acencio Silverio;267;1;;;;;;;;;;
Belsimira;494;1;;;;;;;;;;
Segundo Desiderio;367;1;;;;;;;;;;
Rosa Edelmira Roma;685;1;;;;;;;;;;
Atilio Jairo;624;1;;;;;;;;;;
Tomasa Del Carmen;506;1;;;;;;;;;;
Bernarda Del Transito;433;1;;;;;;;;;;
Dominga Marcela;266;1;;;;;;;;;;
Zilia Dina;210;1;;;;;;;;;;
Etelbina;597;1;;;;;;;;;;
Naun;328;1;;;;;;;;;;
Neria Josefina;503;1;;;;;;;;;;
Dolores del Valle;166;1;;;;;;;;;;
Pedro Godino;375;1;;;;;;;;;;
Nicolas Daniel;398;1;;;;;;;;;;
Porzia;277;1;;;;;;;;;;
Miguel Lucio;317;1;;;;;;;;;;
Adelina Camila;633;1;;;;;;;;;;
Anibal Juan;423;1;;;;;;;;;;
Lydia Antonia;137;1;;;;;;;;;;
Erminia Casilda;294;1;;;;;;;;;;
Blanca Julia;190;1;;;;;;;;;;
Marqueza Sosima;441;1;;;;;;;;;;
Alfredo Vitale;340;1;;;;;;;;;;
Adela Feliciana;283;1;;;;;;;;;;
Clementino Serapio;236;1;;;;;;;;;;
Elba Helena;602;1;;;;;;;;;;
Marta Lucia;512;1;;;;;;;;;;
PrÃ³spero Oscar;639;1;;;;;;;;;;
Nelly Teresa;205;1;;;;;;;;;;
Ides;404;1;;;;;;;;;;
Cesar Fernando;157;1;;;;;;;;;;
Ubaldo Angel;318;1;;;;;;;;;;
Olimpia Concepcion;575;1;;;;;;;;;;
Enrique Cipriano;505;1;;;;;;;;;;
 Hilda Griselda;631;1;;;;;;;;;;
Marcela Florentina;394;1;;;;;;;;;;
Elvia Dora;232;1;;;;;;;;;;
Julia Victoria;499;1;;;;;;;;;;
Berta Sali;309;1;;;;;;;;;;
Gregoria Nieve;660;1;;;;;;;;;;
Laura Haydee;605;1;;;;;;;;;;
Beatriz Zulema;698;1;;;;;;;;;;
Rogelio Luciano Luis;690;1;;;;;;;;;;
Elisa Catalina;384;1;;;;;;;;;;
Rogelio Andres;210;1;;;;;;;;;;
Graciela Laura;260;1;;;;;;;;;;
Ildo Juan;623;1;;;;;;;;;;
Ernesto Enrique;119;1;;;;;;;;;;
Elsa RenÃ©;698;1;;;;;;;;;;
Amalia Corina;593;1;;;;;;;;;;
Arsenio Manuel;354;1;;;;;;;;;;
Juan Irineo;517;1;;;;;;;;;;
Irene Francisca;367;1;;;;;;;;;;
Juana Maria Rita;654;1;;;;;;;;;;
Jorgina;660;1;;;;;;;;;;
Raquel Francisca Carmen;343;1;;;;;;;;;;
AmÃ©rico Juan Antonio;469;1;;;;;;;;;;
Gregorio Albano;476;1;;;;;;;;;;
Antonio Alfonso;328;1;;;;;;;;;;
Maria Luisa Ramona;327;1;;;;;;;;;;
Alodia Ramona;415;1;;;;;;;;;;
Jesus Delfora;253;1;;;;;;;;;;
Angela Micaela Margarita;535;1;;;;;;;;;;
Alina;560;1;;;;;;;;;;
Benicio;391;1;;;;;;;;;;
Anastasia Teresa;366;1;;;;;;;;;;
Norman Luis;542;1;;;;;;;;;;
Maria Del Carmen Susana;164;1;;;;;;;;;;
Oriente;254;1;;;;;;;;;;
Jorge Raul Placido;122;1;;;;;;;;;;
Anibal Hipolito;487;1;;;;;;;;;;
Hortensia Marta;353;1;;;;;;;;;;
Quirico;412;1;;;;;;;;;;
Ana Isabel;613;1;;;;;;;;;;
Elida Enriqueta;278;1;;;;;;;;;;
Lydia Gladys;549;1;;;;;;;;;;
Jose Alejandro Pascual;460;1;;;;;;;;;;
Gregoria Delfina;282;1;;;;;;;;;;
Heraclio Canuto;472;1;;;;;;;;;;
Zulema Josefa;386;1;;;;;;;;;;
Julio Marino;576;1;;;;;;;;;;
Hector Federico;566;1;;;;;;;;;;
Marta Dolores;424;1;;;;;;;;;;
Dina Genuaria;356;1;;;;;;;;;;
Nunzio;221;1;;;;;;;;;;
Elena Margarita;573;1;;;;;;;;;;
Adalgisa MarÃ­a;200;1;;;;;;;;;;
Flora Antonia;465;1;;;;;;;;;;
Aurelia Lucia;332;1;;;;;;;;;;
Maria Juana Teresa;616;1;;;;;;;;;;
Dora Saturnina;424;1;;;;;;;;;;
Alvaro Cristobal;376;1;;;;;;;;;;
Emilio German;411;1;;;;;;;;;;
Mery;129;1;;;;;;;;;;
Alejandro Enrique;586;1;;;;;;;;;;
Florentina del Carmen;197;1;;;;;;;;;;
Livia Agustina;486;1;;;;;;;;;;
Angela Filomena Dominga;145;1;;;;;;;;;;
Angeles;518;1;;;;;;;;;;
Laura Dolores;590;1;;;;;;;;;;
Isidora Celia;512;1;;;;;;;;;;
Carmen Ebel;700;1;;;;;;;;;;
Ildefonso HÃ©ctor;415;1;;;;;;;;;;
Maria Juanita;694;1;;;;;;;;;;
Guido Ricardo;303;1;;;;;;;;;;
Elva Avelina;478;1;;;;;;;;;;
Eldon Tulio;436;1;;;;;;;;;;
Luisa Refa;380;1;;;;;;;;;;
Marciano Emilio;679;1;;;;;;;;;;
Maria Ederlinda;140;1;;;;;;;;;;
Marta Elida;486;1;;;;;;;;;;
Ingebor Lolly Luise;585;1;;;;;;;;;;
Eduarda;622;1;;;;;;;;;;
Elvira Isolina;402;1;;;;;;;;;;
Emilia Rita;296;1;;;;;;;;;;
CesÃ¡rea;123;1;;;;;;;;;;
HÃ©ctor TomÃ¡s Juan;670;1;;;;;;;;;;
Adelina Isabel;544;1;;;;;;;;;;
Herminia Maria AngÃ©lica;674;1;;;;;;;;;;
Manuela Tomasa;133;1;;;;;;;;;;
Benita Argentina;435;1;;;;;;;;;;
Juan Lucio;544;1;;;;;;;;;;
Elsa Herminia;367;1;;;;;;;;;;
Elena Lidia;390;1;;;;;;;;;;
Remijia;325;1;;;;;;;;;;
Eugenia Nieves;404;1;;;;;;;;;;
Hortencia Concepcion;577;1;;;;;;;;;;
Elidia Isidora;323;1;;;;;;;;;;
Haydee Maria;365;1;;;;;;;;;;
Oren Esther;151;1;;;;;;;;;;
Tarcila;350;1;;;;;;;;;;
Honorio;557;1;;;;;;;;;;
Marta Carmen;332;1;;;;;;;;;;
Alberto Agapito;357;1;;;;;;;;;;
Clara Argentina;502;1;;;;;;;;;;
Rovira;629;1;;;;;;;;;;
Edda;288;1;;;;;;;;;;
MarÃ­a Natalia;264;1;;;;;;;;;;
Rame Abraham;269;1;;;;;;;;;;
Perosca Olga;623;1;;;;;;;;;;
Celma Flora;409;1;;;;;;;;;;
Neri Ric Arm;115;1;;;;;;;;;;
Anelida Celestina;197;1;;;;;;;;;;
Martha Nelida;406;1;;;;;;;;;;
Tomasa Pascuala;235;1;;;;;;;;;;
Rosendo Alberto;580;1;;;;;;;;;;
Angelina Ramona;330;1;;;;;;;;;;
Marcelo Roque;422;1;;;;;;;;;;
 Fernando Nicolas;209;1;;;;;;;;;;
Norma Marta;537;1;;;;;;;;;;
Irma Ines;576;1;;;;;;;;;;
Ingrid;494;1;;;;;;;;;;
Laura Del Carmen;236;1;;;;;;;;;;
Antonia Concepcion;242;1;;;;;;;;;;
Irene Lucia;644;1;;;;;;;;;;
Lucia Mercedes;101;1;;;;;;;;;;
Elly Wilma;598;1;;;;;;;;;;
Zulema Fausta;511;1;;;;;;;;;;
Patrocinio;426;1;;;;;;;;;;
Sara Natividad;437;1;;;;;;;;;;
Florinda Teresa;481;1;;;;;;;;;;
Florinda Genoveva;182;1;;;;;;;;;;
Narciso Tomas;291;1;;;;;;;;;;
Raquel Clotilde;128;1;;;;;;;;;;
Selsa;301;1;;;;;;;;;;
Carlos Alcides;553;1;;;;;;;;;;
Magdalena Feridia;265;1;;;;;;;;;;
Gladis Angela;697;1;;;;;;;;;;
Aurora  Yrene;515;1;;;;;;;;;;
Calixta;684;1;;;;;;;;;;
Nidia Nelly;217;1;;;;;;;;;;
Agustina Erminda;121;1;;;;;;;;;;
Amada Eulogia;302;1;;;;;;;;;;
Francisco Segundo;176;1;;;;;;;;;;
Maria Dorotea;332;1;;;;;;;;;;
Alejandra Dominga;569;1;;;;;;;;;;
Dora Olga;108;1;;;;;;;;;;
Mira;403;1;;;;;;;;;;
Clelia;248;1;;;;;;;;;;
Teresa Virginia;487;1;;;;;;;;;;
Justino Roberto;366;1;;;;;;;;;;
Llagama Esther;109;1;;;;;;;;;;
Jova Isabel;124;1;;;;;;;;;;
Branko;106;1;;;;;;;;;;
Elsa Evelia;197;1;;;;;;;;;;
Nelva Beatriz;178;1;;;;;;;;;;
Hedda Emma Noemi;345;1;;;;;;;;;;
Felismina;205;1;;;;;;;;;;
Adela Carmen;327;1;;;;;;;;;;
Eulogia Martina;669;1;;;;;;;;;;
Maria Esilda;139;1;;;;;;;;;;
Baldomero Paulino;348;1;;;;;;;;;;
Argentina Violeta;649;1;;;;;;;;;;
Ana Flora;687;1;;;;;;;;;;
Nehir;200;1;;;;;;;;;;
Lorenza Asteria;435;1;;;;;;;;;;
Evarista de Mercedes;521;1;;;;;;;;;;
Cipriana Martina;100;1;;;;;;;;;;
Hilda BrÃ­gida Del CorazÃ³n De JesÃºs;132;1;;;;;;;;;;
Judit Elisa;639;1;;;;;;;;;;
EVARISTA DE LA CRUZ;326;1;;;;;;;;;;
Rosa Sinforosa;643;1;;;;;;;;;;
Sofia Del Carmen;212;1;;;;;;;;;;
Czeslaw;102;1;;;;;;;;;;
Ana Maria Dionisia;168;1;;;;;;;;;;
Amanda Rosalia;478;1;;;;;;;;;;
Eucebia;242;1;;;;;;;;;;
Eneris F;127;1;;;;;;;;;;
Isabel Francisca;204;1;;;;;;;;;;
